町名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,空き缶,空きびん,ペットボトル類,ダンボール・紙製容器・紙パック
在田町,福井市清掃清美課,火 金,木2 木4,月,水1 水3,水4,水2,水3
赤坂町,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
赤谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
明里町,福井市清掃清美課,月 木,2･4金,火,2･4水,1水,3水,4水
朝谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
朝宮町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
味見河内町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
足羽１～５丁目,福井市清掃清美課,月 木,2･4金,火,2･4水,1水,3水,4水
足羽上町,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
浅水町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
浅水三ケ町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
浅水二日町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
網戸瀬町,福井市清掃清美課,火 金,2･4木,月,2･4水,3水,1水,4水
安波賀町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
安波賀中島町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
安保町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
天池町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
尼ヶ谷町,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
天菅生町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
鮎川町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
荒木町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
荒木新保町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
荒木別所町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
荒谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
飯塚町,福井市清掃清美課,月 木,1･3金,火,2･4水,1水,3水,4水
幾久町２字以外,福井市清掃清美課,火 金,2･4月,木,2･4水,3水,1水,4水
幾久町２字,福井市清掃清美課,火 金,2･4木,月,2･4水,3水,1水,4水
幾代２丁目,福井市清掃清美課,火 金,2･4木,月,2･4水,3水,1水,4水
居倉町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
池尻町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
生部町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
石新保町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
石橋町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
石畠町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
石盛町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
泉田町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
板垣町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
板垣１～５丁目,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
一王寺町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
市波町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
市ノ瀬町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
一本木町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
糸崎町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
稲多新町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
稲多浜町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
稲多元町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
稲津町（足羽川北）,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
稲津町（足羽川南）６７字～,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
今市町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
岩倉町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
印田町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
上野町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
上野本町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
上野本町新（団地）,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
上伏町,福井市清掃清美課,火 金,2･4月,木,2･4水,3水,1水,4水
宇坂大谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
宇坂別所町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
羽水１～３丁目,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
獺ケ口町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
謡谷町,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
内山梨子町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
馬垣町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
漆原町,福井市清掃清美課,月 木,2･4金,火,2･4水,3水,1水,4水
運動公園１～４丁目,福井市清掃清美課,火 金,2･4月,木,2･4水,1水,3水,4水
江上町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
江尻ヶ丘町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
江端町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
海老助町,福井市清掃清美課,火 金,2･4月,木,2･4水,3水,1水,4水
江守中町,福井市清掃清美課,火 金,1･3木,月,2･4水,1水,3水,4水
江守中１・２丁目,福井市清掃清美課,火 金,1･3木,月,2･4水,1水,3水,4水
江守の里１・２丁目,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
円山１丁目,福井市清掃清美課,月 木,2･4金,火,1･3水,4水,2水,3水
円成寺町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大窪町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大久保町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
大島町（江端川北）,福井市清掃清美課,火 金,1･3木,月,2･4水,1水,3水,4水
大島町（江端川南）,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大瀬町５・６字以外,福井市清掃清美課,月 木,1･3金,火,2･4水,1水,3水,4水
大瀬町５・６字,福井市清掃清美課,月 木,1･3金,火,1･3水,2水,4水,3水
太田町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大手１・２（駅前以外）３丁目（北側）,福井市清掃清美課,月 木,1･3火,金,1･3水,4水,2水,3水
大手２丁目（駅前）,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
大手３丁目（北側以外）,福井市清掃清美課,月 木,1･3火,金,1･3水,4水,2水,3水
大年町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大土呂町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大町（江崎）,福井市清掃清美課,火 金,1･3木,月,2･4水,1水,3水,4水
大町（江崎以外）,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大町１・２丁目,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大味町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大宮町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
大宮１～６丁目,福井市清掃清美課,火 金,2･4月,木,2･4水,3水,1水,4水
大村町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
大森町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大矢町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
大和田町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
大和田１・２丁目,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
岡西谷町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
恐神町,福井市清掃清美課,火 金,2･4月,木,1･3水,2水,4水,3水
小当見町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
大丹生町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
小羽町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
大畑町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
小山谷町,福井市清掃清美課,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください。,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡,収集日は清掃清美課にお問い合わせください｡
折立町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
開発町,福井市清掃清美課,月 木,2･4金,火,1･3水,4水,2水,3水
開発１～５丁目,福井市清掃清美課,月 木,2･4金,火,1･3水,4水,2水,3水
柿谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
学園１～３丁目,福井市清掃清美課,月 木,1･3金,火,1･3水,2水,4水,3水
花月１～５丁目,福井市清掃清美課,月 木,1･3金,火,1･3水,2水,4水,3水
篭谷町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
風尾町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
風巻町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
主計中町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
春日町,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
春日１～３丁目,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
片粕町,福井市清掃清美課,火 金,2･4木,月,1･3水,2水,4水,3水
片山町,福井市清掃清美課,火 金,2･4木,月,1･3水,4水,2水,3水
勝見１～３丁目,福井市清掃清美課,月 木,2･4火,金,1･3水,4水,2水,3水
鹿俣町,福井市清掃清美課,火 金,1･3月,木,2･4水,1水,3水,4水
